food_code,name,group,kcal,protein_g,fat_g,satfat_g,carbs_g,sugars_g,fibre_g,salt_g
12-500,"Baking fat and margarine (75-90% fat), hard block",BTM,688,0.0,76.4,26.41,0.0,0.0,0.0,1.5
17-355,Baking powder,WY,163,5.2,0.0,0.0,37.8,0.0,0.0,29.5
11-1029,"Banana bread, homemade",AN,331,4.4,12.4,3.27,53.9,36.3,1.4,0.428
12-556,"Banana split, homemade",BP,205,2.3,11.8,6.91,23.9,18.4,0.6,0.095
14-318,"Bananas, flesh only",FA,81,1.2,0.1,0.04,20.3,18.1,1.4,0.0
14-347,"Bananas, raw, flesh only, weighed with skin",FA,51,0.8,0.0,0.03,12.8,11.4,0.9,0.0
11-1030,"Bannocks, made with beremeal, homemade",AF,266,9.3,1.7,0.23,56.8,3.1,1.0,0.278
11-951,"Bannocks, made with wheat flour, homemade",AF,292,8.5,1.3,0.46,65.5,2.4,3.1,0.38
17-705,Barbecue sauce,WCN,140,1.0,0.1,0.0,36.1,29.9,1.2,1.575
17-769,"Barbecue sauce, homemade",WC,300,2.7,21.0,12.45,26.1,21.5,1.7,0.98
14-804,"Barcelona nuts, Kernel only",GA,639,10.9,64.0,0.0,5.2,3.4,0.0,0.008
14-805,"Barcelona nuts, kernel only, weighed with shells",GA,397,6.8,39.7,0.0,3.2,2.1,0.0,0.005
17-844,"Barley water, diluted",PCC,18,0.1,0.0,0.0,4.7,4.3,0.0,0.008
17-743,"Barley water, undiluted",PCC,90,0.3,0.0,0.0,23.7,21.5,0.0,0.038
11-003,"Barley, pearl, boiled",AA,120,2.7,0.6,0.0,27.6,0.0,0.0,0.002
11-002,"Barley, pearl, raw",AA,360,7.9,1.7,0.0,83.6,0.0,0.0,0.008
13-805,"Basil, dried, ground",H,251,14.4,4.0,0.0,43.2,0.0,0.0,0.085
13-804,"Basil, fresh",H,40,3.1,0.8,0.0,5.1,0.0,0.0,0.022
16-386,"Bass, sea, flesh only, baked",JA,154,23.2,6.8,1.47,0.0,0.0,0.0,0.2
16-463,"Bass, sea, flesh only, baked, weighed with bones and skin",JA,137,20.6,6.1,1.31,0.0,0.0,0.0,0.178
16-385,"Bass, sea, flesh only, raw",JA,168,20.0,9.8,2.16,0.0,0.0,0.0,0.18
16-464,"Bass, sea, flesh only, raw, weighed with bones and skin",JA,144,17.2,8.4,1.86,0.0,0.0,0.0,0.155
13-806,"Bay leaf, dried",H,313,7.6,8.4,2.3,48.6,0.0,0.0,0.058
15-664,"Bean loaf, mixed beans, homemade",DR,148,6.6,7.2,0.59,15.1,3.6,4.3,0.012
15-665,"Beanburger, aduki, fried in rapeseed oil, homemade",DR,190,8.1,7.3,0.0,24.1,2.3,4.4,0.52
15-666,"Beanburger, butter bean, fried in rapeseed oil, homemade",DR,194,5.7,10.6,0.85,20.2,3.0,4.0,0.178
15-667,"Beanburger, red kidney bean, fried in rapeseed oil",DR,202,6.2,10.7,0.85,21.7,2.6,4.8,0.178
15-668,"Beanburger, soya, fried in rapeseed oil",DR,193,10.5,10.7,1.18,14.5,3.7,4.6,0.502
13-042,"Beans, aduki, whole, dried, boiled in unsalted water",DB,123,9.3,0.2,0.0,22.5,0.5,5.5,0.005
13-041,"Beans, aduki, whole, dried, raw",DB,272,19.9,0.5,0.0,50.1,1.0,11.1,0.012
13-049,"Beans, balor, ends trimmed, raw",DB,23,2.7,0.1,0.0,3.0,2.4,3.5,0.002
13-063,"Beans, blackeye, whole, dried, boiled in unsalted water",DB,116,8.8,0.7,0.2,19.9,1.1,3.5,0.012
13-062,"Beans, blackeye, whole, dried, raw",DB,311,23.5,1.6,0.5,54.1,2.9,8.2,0.04
13-067,"Beans, broad, dried, raw",DB,245,26.1,2.1,0.3,32.5,5.9,27.6,0.028
13-648,"Beans, broad, whole, boiled in unsalted water",DB,91,9.0,1.0,0.13,12.3,1.1,9.0,0.005
13-064,"Beans, broad, whole, raw",DB,59,5.7,1.0,0.1,7.2,1.3,6.1,0.002
13-559,"Beans, butter, canned, re-heated, drained",DB,77,5.9,0.5,0.1,13.0,1.1,4.6,0.0
13-663,"Beans, butter, dried, boiled in unsalted water",DB,105,8.1,1.1,0.18,16.8,1.4,11.2,0.0
13-070,"Beans, butter, dried, raw",DB,290,19.1,1.7,0.4,52.9,3.6,16.0,0.1
13-666,"Beans, cannellini, canned, re-heated, drained",DB,104,7.6,1.6,0.27,15.9,0.7,6.8,0.018
13-670,"Beans, chick peas, canned, re-heated, drained",DB,129,8.4,3.0,0.29,18.3,0.7,7.1,0.002
13-077,"Beans, chick peas, Kabuli, split, dried, boiled in unsalted water",DB,114,7.7,2.0,0.2,17.4,1.0,0.0,0.012
13-076,"Beans, chick peas, Kabuli, split, dried, raw",DB,325,22.7,5.4,0.5,49.6,2.6,0.0,0.098
13-662,"Beans, chick peas, Kabuli, whole, dried, boiled in unsalted water",DB,129,8.4,3.0,0.29,18.3,0.7,10.6,0.002
13-074,"Beans, chick peas, Kabuli, whole, dried, raw",DB,320,21.3,5.4,0.5,49.6,2.6,10.7,0.098
13-080,"Beans, cluster, raw",DB,23,2.6,0.1,0.0,3.0,2.9,0.0,0.002
13-667,"Beans, edamame, frozen, boiled in unsalted water",DB,142,12.2,7.6,0.85,6.5,2.6,5.9,0.012
13-515,"Beans, green, boiled in unsalted water",DB,26,2.1,0.3,0.06,4.0,3.0,4.1,0.0
13-514,"Beans, green, raw",DB,24,2.1,0.4,0.08,3.1,2.2,3.4,0.0
13-665,"Beans, haricot, canned, re-heated, drained",DB,96,7.1,1.0,0.2,15.6,0.6,6.8,0.015
13-087,"Beans, haricot, whole, dried, boiled in unsalted water",DB,95,6.6,0.5,0.1,17.2,0.8,6.1,0.038
13-086,"Beans, haricot, whole, dried, raw",DB,286,21.4,1.6,0.3,49.7,2.8,17.0,0.108
13-099,"Beans, mung, dahl, dried, boiled in unsalted water",DB,92,7.8,0.4,0.1,15.3,0.5,0.0,0.005
13-098,"Beans, mung, dahl, dried, raw",DB,291,26.8,1.1,0.3,46.3,1.5,0.0,0.03
13-664,"Beans, mung, whole, dried, boiled in unsalted water",DB,100,8.6,0.7,0.18,15.8,0.4,6.1,0.0
